GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,KEN,Kenya,CAREPATIENT,CAREPATIENT_CAREPATIENT_OUT,Outpatient,26.13,26.13,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,KEN,Kenya,CAREPATIENT,CAREPATIENT_CAREPATIENT_INP,Inpatient,1.74,1.74,,
DEVICES03,Total density per 100 000 population: District/rural hospitals,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-100-000-population-district-rural-hospitals,2010,2010,2010,AFR,Africa,KEN,Kenya,,,,1.55,1.55,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,KEN,Kenya,WEALTHQUINTILE,WEALTHQUINTILE_WQ1,Q1 (Poorest),19.6,19.6,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,KEN,Kenya,WEALTHQUINTILE,WEALTHQUINTILE_WQ5,Q5 (Richest),45.26,45.26,,
DEVICES01,Total density per 100 000 population: Health posts,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-100-000-population-health-posts,2010,2010,2010,AFR,Africa,KEN,Kenya,,,,8.27,8.27,,
DEVICES03,Total density per 100 000 population: District/rural hospitals,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-100-000-population-district-rural-hospitals,2013,2013,2013,AFR,Africa,KEN,Kenya,,,,1.41364,1.41,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,KEN,Kenya,CAREPATIENT,CAREPATIENT_CAREPATIENT_OUT,Outpatient,2.51,2.51,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,KEN,Kenya,CAREPATIENT,CAREPATIENT_CAREPATIENT_INP,Inpatient,10.13,10.13,,
DEVICES02,Total density per 100 000 population: Health centres,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-100-000-population-health-centres,2010,2010,2010,AFR,Africa,KEN,Kenya,,,,6.55,6.55,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,KEN,Kenya,WEALTHQUINTILE,WEALTHQUINTILE_WQ2,Q2,79.03,79.03,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,KEN,Kenya,WEALTHQUINTILE,WEALTHQUINTILE_WQ5,Q5 (Richest),54.74,54.74,,
DEVICES00,Total density per 100 000 population: Hospitals,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-100-000-population-hospitals,2013,2013,2013,AFR,Africa,KEN,Kenya,,,,1.46549,1.47,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2010,2010,2010,AFR,Africa,KEN,Kenya,,,,14.0,14.0,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,KEN,Kenya,CAREPATIENT,CAREPATIENT_CAREPATIENT_TOT,Total,18.58,18.58,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,KEN,Kenya,CAREPATIENT,CAREPATIENT_CAREPATIENT_OUT,Outpatient,3.49,3.49,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,KEN,Kenya,WEALTHQUINTILE,WEALTHQUINTILE_WQ2,Q2,20.97,20.97,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,KEN,Kenya,CAREPATIENT,CAREPATIENT_CAREPATIENT_TOT,Total,70.18,70.18,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,KEN,Kenya,WEALTHQUINTILE,WEALTHQUINTILE_WQ4,Q4,67.76,67.76,,
DEVICES04,Total density per 100 000 population: Provincial hospitals,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-100-000-population-provincial-hospitals,2013,2013,2013,AFR,Africa,KEN,Kenya,,,,0.03607,0.04,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,KEN,Kenya,CAREPATIENT,CAREPATIENT_CAREPATIENT_TOT,Total,2.67,2.67,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2019,2019,2019,AFR,Africa,KEN,Kenya,,,,13.3,13.3,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,KEN,Kenya,WEALTHQUINTILE,WEALTHQUINTILE_WQ3,Q3,25.56,25.56,,
DEVICES02,Total density per 100 000 population: Health centres,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-100-000-population-health-centres,2013,2013,2013,AFR,Africa,KEN,Kenya,,,,5.98597,5.99,,
