GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
HWF_0024,Community Health Workers (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/community-health-workers-%28number%29,2018,2018,2018,AFR,Africa,KEN,Kenya,,,,58079.0,58 079,,
HWF_0011,Dentists (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28number%29,2019,2019,2019,AFR,Africa,KEN,Kenya,,,,1300.0,1300,,
HWF_0006,"Nursing and midwifery personnel (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28per-10-000-population%29,2018,2018,2018,AFR,Africa,KEN,Kenya,,,,11.93,11.93,,
HWF_0022,Physiotherapy Technicians and Assistants  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/physiotherapy-technicians-and-assistants-%28number%29,2024,2024,2024,AFR,Africa,KEN,Kenya,,,,293.0,293,,
HWF_0012,Dental Assistants and Therapists (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dental-assistants-and-therapists-%28number%29,2021,2021,2021,AFR,Africa,KEN,Kenya,,,,246.0,246,,
HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2021,2021,2021,AFR,Africa,KEN,Kenya,,,,34588.0,34 588,,
HWF_0006,"Nursing and midwifery personnel (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28per-10-000-population%29,2015,2015,2015,AFR,Africa,KEN,Kenya,,,,8.8,8.8,,
HWF_0001,"Medical doctors (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28per-10-000-population%29,2002,2002,2002,AFR,Africa,KEN,Kenya,,,,1.38,1.38,,
HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2024,2024,2024,AFR,Africa,KEN,Kenya,,,,66098.0,66 098,,
HWF_0015,Pharmacists  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/pharmacists-number,2012,2012,2012,AFR,Africa,KEN,Kenya,,,,2076.0,2076,,
HWF_0013,Dental Prosthetic Technicians (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dental-prosthetic-technicians-%28number%29,2002,2002,2002,AFR,Africa,KEN,Kenya,,,,594.0,594,,
HWF_0018,Environmental and Occupational Health Inspectors and Associates  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/environmental-and-occupational-health-inspectors-and-associates-%28number%29,2004,2004,2004,AFR,Africa,KEN,Kenya,,,,6314.0,6314,,
HWF_0006,"Nursing and midwifery personnel (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28per-10-000-population%29,2014,2014,2014,AFR,Africa,KEN,Kenya,,,,9.41,9.41,,
HWF_0001,"Medical doctors (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28per-10-000-population%29,2021,2021,2021,AFR,Africa,KEN,Kenya,,,,0.98,0.98,,
HWF_0016,Pharmaceutical Technicians and Assistants  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/pharmaceutical-technicians-and-assistants-%28number%29,2024,2024,2024,AFR,Africa,KEN,Kenya,,,,10498.0,10 498,,
HWF_0011,Dentists (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28number%29,2022,2022,2022,AFR,Africa,KEN,Kenya,,,,1344.0,1344,,
HWF_0019,Medical and Pathology Laboratory scientists  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-and-pathology-laboratory-scientists-%28number%29,2004,2004,2004,AFR,Africa,KEN,Kenya,,,,6000.0,6000,,
HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,2022,2022,2022,AFR,Africa,KEN,Kenya,,,,61780.0,61 780,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2002,2002,2002,AFR,Africa,KEN,Kenya,,,,0.23,0.23,,
HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,2008,2008,2008,AFR,Africa,KEN,Kenya,,,,14073.0,14 073,,
HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,2024,2024,2024,AFR,Africa,KEN,Kenya,,,,68386.0,68 386,,
HWF_0004,Specialist medical practitioners (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/specialist-medical-practitioners-%28number%29,2020,2020,2020,AFR,Africa,KEN,Kenya,,,,1005.0,1005,,
HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,2014,2014,2014,AFR,Africa,KEN,Kenya,,,,9149.0,9149,,
HWF_0006,"Nursing and midwifery personnel (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28per-10-000-population%29,2020,2020,2020,AFR,Africa,KEN,Kenya,,,,5.9,5.9,,
