GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
SDGHIV,New HIV infections (per 1000 uninfected population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-hiv-infections-per-1000-uninfected-population-%28sdg-3.3.1%29,1993,1993,1993,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,13.1,13.1 [8.3 - 20.5],8.3,20.5
HIV_0000000026,Number of new HIV infections,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-hiv-infections,2016,2016,2016,AFR,Africa,KEN,Kenya,,,,32000.0,32 000 [21 000 - 50 000],21000.0,50000.0
MDG_0000000029,Prevalence of HIV among adults aged 15 to 49 (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-hiv-among-adults-aged-15-to-49-%28-%29,2014,2014,2014,AFR,Africa,KEN,Kenya,,,,4.9,4.9 [4.4 - 5.5],4.4,5.5
HIV_0000000009,Reported number of people receiving antiretroviral therapy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-people-receiving-antiretroviral-therapy,2020,2020,2020,AFR,Africa,KEN,Kenya,,,,1051537.0,1 051 537,,
HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-pregnant-women-living-with-hiv-needing-antiretrovirals-for-preventing-mother-to-child-transmission,2011,2011,2011,AFR,Africa,KEN,Kenya,,,,80000.0,80 000 [69 000 - 94 000],69000.0,94000.0
HIV_0000000020,Estimated number of pregnant women living with HIV,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-percentage-of-pregnant-women-living-with-hiv-who-received-antiretrovirals-for-preventing-mother-to-child-transmission,2017,2017,2017,AFR,Africa,KEN,Kenya,,,,85.0,85 [73 - 99],73.0,99.0
SDGHIV,New HIV infections (per 1000 uninfected population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-hiv-infections-per-1000-uninfected-population-%28sdg-3.3.1%29,2016,2016,2016,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,0.73,0.73 [0.46 - 1.1],0.46,1.1
HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-pregnant-women-living-with-hiv-needing-antiretrovirals-for-preventing-mother-to-child-transmission,1996,1996,1996,AFR,Africa,KEN,Kenya,,,,130000.0,130 000 [120 000 - 160 000],120000.0,160000.0
HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-children-needing-antiretroviral-therapy-based-on-who-methods,2020,2020,2020,AFR,Africa,KEN,Kenya,,,,86000.0,86 000 [69 000 - 110 000],69000.0,110000.0
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/percentage-of-people-living-with-hiv-who-are-currently-receiving-antiretroviral-therapy-%28art%29,2019,2019,2019,AFR,Africa,KEN,Kenya,,,,78.0,78 [70 - 89],70.0,89.0
HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-pregnant-women-living-with-hiv-needing-antiretrovirals-for-preventing-mother-to-child-transmission,2019,2019,2019,AFR,Africa,KEN,Kenya,,,,57000.0,57 000 [49 000 - 67 000],49000.0,67000.0
SDGHIV,New HIV infections (per 1000 uninfected population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-hiv-infections-per-1000-uninfected-population-%28sdg-3.3.1%29,1993,1993,1993,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,10.6,10.6 [6.8 - 16.5],6.8,16.5
HIV_0000000024,Estimated antiretroviral therapy coverage among children,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-antiretroviral-therapy-coverage-among-children,2004,2004,2004,AFR,Africa,KEN,Kenya,,,,0.0,0 [0 - 0],0.0,0.0
HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-children-needing-antiretroviral-therapy-based-on-who-methods,2001,2001,2001,AFR,Africa,KEN,Kenya,,,,270000.0,270 000 [220 000 - 360 000],220000.0,360000.0
HIV_0000000020,Estimated number of pregnant women living with HIV,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-percentage-of-pregnant-women-living-with-hiv-who-received-antiretrovirals-for-preventing-mother-to-child-transmission,2010,2010,2010,AFR,Africa,KEN,Kenya,,,,50.0,50 [43 - 59],43.0,59.0
HIV_0000000011,Reported number of children receiving antiretroviral therapy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-children-receiving-antiretroviral-therapy,2019,2019,2019,AFR,Africa,KEN,Kenya,,,,73076.0,73 076,,
HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-children-needing-antiretroviral-therapy-based-on-who-methods,1990,1990,1990,AFR,Africa,KEN,Kenya,,,,61000.0,61 000 [49 000 - 80 000],49000.0,80000.0
SDGHIV,New HIV infections (per 1000 uninfected population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-hiv-infections-per-1000-uninfected-population-%28sdg-3.3.1%29,2010,2010,2010,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,1.4,1.4 [0.89 - 2.2],0.89,2.2
SDGHIV,New HIV infections (per 1000 uninfected population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-hiv-infections-per-1000-uninfected-population-%28sdg-3.3.1%29,1992,1992,1992,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,11.0,11 [7 - 17.2],7.0,17.2
HIV_0000000024,Estimated antiretroviral therapy coverage among children,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-antiretroviral-therapy-coverage-among-children,2015,2015,2015,AFR,Africa,KEN,Kenya,,,,50.0,50 [40 - 67],40.0,67.0
HIV_0000000011,Reported number of children receiving antiretroviral therapy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-children-receiving-antiretroviral-therapy,2007,2007,2007,AFR,Africa,KEN,Kenya,,,,16668.0,16 668,,
HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-children-needing-antiretroviral-therapy-based-on-who-methods,2023,2023,2023,AFR,Africa,KEN,Kenya,,,,67000.0,67 000 [54 000 - 88 000],54000.0,88000.0
HIV_0000000006,Number of people dying from HIV-related causes,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-due-to-hiv-aids,2001,2001,2001,AFR,Africa,KEN,Kenya,,,,130000.0,130 000 [93 000 - 200 000],93000.0,200000.0
SDGHIV,New HIV infections (per 1000 uninfected population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-hiv-infections-per-1000-uninfected-population-%28sdg-3.3.1%29,2018,2018,2018,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,0.37,0.37 [0.24 - 0.59],0.24,0.59
SDGHIV,New HIV infections (per 1000 uninfected population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-hiv-infections-per-1000-uninfected-population-%28sdg-3.3.1%29,2016,2016,2016,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,0.95,0.95 [0.6 - 1.5],0.6,1.5
SDGHIV,New HIV infections (per 1000 uninfected population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-hiv-infections-per-1000-uninfected-population-%28sdg-3.3.1%29,2012,2012,2012,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,1.1,1.1 [0.7 - 1.7],0.7,1.7
SDGHIV,New HIV infections (per 1000 uninfected population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-hiv-infections-per-1000-uninfected-population-%28sdg-3.3.1%29,2019,2019,2019,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,0.68,0.68 [0.43 - 1.1],0.43,1.1
HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-pregnant-women-living-with-hiv-needing-antiretrovirals-for-preventing-mother-to-child-transmission,2001,2001,2001,AFR,Africa,KEN,Kenya,,,,120000.0,120 000 [100 000 - 140 000],100000.0,140000.0
HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-pregnant-women-living-with-hiv-needing-antiretrovirals-for-preventing-mother-to-child-transmission,2006,2006,2006,AFR,Africa,KEN,Kenya,,,,93000.0,93 000 [79 000 - 110 000],79000.0,110000.0
