GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
TOBACCO_MPOWER_W2C_TOBACCOSMOKELESS,"Tobacco Warning: W2c smokeless tobacco packaging health warnings, other characteristics",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tobacco-warning--w2c-smokeless-packaging-health-warnings--other-characteristics,2016,2016,2016,AFR,Africa,KEN,Kenya,TOBACCO_INDICATOR,TOBACCO_INDICATOR_W20_flavours_C,Smokeless tobacco packaging and labelling must not use descriptors depicting flavours,,No,,
TOBACCO_MPOWER_E1_DIRECTADBANS,Tobacco Enforce bans: E1 direct advertising,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tobacco-enforce-bans--e1-direct-advertising,2022,2022,2022,AFR,Africa,KEN,Kenya,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E2_intl_tv_radio,Ban on advertising on international television and radio,,Yes,,
TOBACCO_MPOWER_E2_INDIRECTADBANS,Tobacco Enforce bans: E2 indirect advertising,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tobacco-enforce-bans--e2-indirect-advertising,2012,2012,2012,AFR,Africa,KEN,Kenya,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E12_brand_sharing,Ban on use of brand name of non-tobacco product for tobacco product,,Yes,,
TOBACCO_MPOWER_W2A_CIGARETTES,"Tobacco Warning: W2a cigarette packaging health warnings, other characteristics",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tobacco-warning--w2a-cigarette-packaging-health-warnings--other-characteristics,2024,2024,2024,AFR,Africa,KEN,Kenya,TOBACCO_INDICATOR,TOBACCO_INDICATOR_W15_specific_hw_A,Specific health warnings are mandated for cigarette packaging,,Yes,,
TOBACCO_MPOWER_W1B_TOBACCOSMOKED,Tobacco Warning: W1b smoked tobacco packaging health warnings,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tobacco-warning--w1b-smoked-packaging-health-warnings,2022,2022,2022,AFR,Africa,KEN,Kenya,TOBACCO_INDICATOR,TOBACCO_INDICATOR_W4_pc_back_B,Percentage of principal display area mandated to be covered by health warnings - back of other smoked tobacco packaging,50.0,50,,
TOBACCO_MPOWER_W1A_CIGARETTES,Tobacco Warning: W1a cigarette packaging health warnings,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tobacco-warning--w1a-cigarette-packaging-health-warnings,2024,2024,2024,AFR,Africa,KEN,Kenya,TOBACCO_INDICATOR,TOBACCO_INDICATOR_W5_top_side_A,Health warnings on cigarette packaging must be placed at the top of the principal display areas of the package,,No,,
TOBACCO_MPOWER_O2_MEDICATIONAVAILABILITY,Tobacco Offer help: O2 Availability of tobacco cessation medications,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/offer-help--o2-availability-of-cessation-medications,2007,2007,2007,AFR,Africa,KEN,Kenya,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_Bup_sold,Bupropion - legally sold,,Yes,,
TOBACCO_MPOWER_W3_MASSMEDIA,Tobacco Warning: W3 anti-tobacco mass-media campaigns,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tobacco-warning--w3-anti-mass-media-campaigns,2020,2020,2020,AFR,Africa,KEN,Kenya,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Camp_tv_radio,Campaign ran on both national television and radio,,—,,
TOBACCO_MPOWER_W1C_TOBACCOSMOKELESS,Tobacco Warning: W1c smokeless tobacco packaging health warnings,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tobacco-warning--w1c-smokeless-packaging-health-warnings,2007,2007,2007,AFR,Africa,KEN,Kenya,TOBACCO_INDICATOR,TOBACCO_INDICATOR_W7_rotation_C,Health warnings on smokeless tobacco packaging must be rotated,,Yes,,
TOBACCO_MPOWER_P1_SMOKEFREEPLACES,Tobacco MPOWER Protect people: P1 smoke-free places (national legislation),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/protect-people--p1-smoke-free-places,2012,2012,2012,AFR,Africa,KEN,Kenya,TOBACCO_INDICATOR,TOBACCO_INDICATOR_P5_indoor_off,Smoke-free indoor offices and workplaces,,No,,
TOBACCO_MPOWER_W3_MASSMEDIA,Tobacco Warning: W3 anti-tobacco mass-media campaigns,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tobacco-warning--w3-anti-mass-media-campaigns,2014,2014,2014,AFR,Africa,KEN,Kenya,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Camp_mat_tested,Campaign was pre-tested,,—,,
TOBACCO_MPOWER_E2_INDIRECTADBANS,Tobacco Enforce bans: E2 indirect advertising,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tobacco-enforce-bans--e2-indirect-advertising,2012,2012,2012,AFR,Africa,KEN,Kenya,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E21b_indirect_ad_fines,Law requires fines for violations of promotion and sponsorship bans,,Yes,,
TOBACCO_MPOWER_W2C_TOBACCOSMOKELESS,"Tobacco Warning: W2c smokeless tobacco packaging health warnings, other characteristics",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tobacco-warning--w2c-smokeless-packaging-health-warnings--other-characteristics,2008,2008,2008,AFR,Africa,KEN,Kenya,TOBACCO_INDICATOR,TOBACCO_INDICATOR_W21_emissions_quant_C,"Smokeless tobacco packaging and labelling must not display quantitative information on emission yields (such as tar nicotine, CO)",,Yes,,
TOBACCO_MPOWER_W1B_TOBACCOSMOKED,Tobacco Warning: W1b smoked tobacco packaging health warnings,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tobacco-warning--w1b-smoked-packaging-health-warnings,2010,2010,2010,AFR,Africa,KEN,Kenya,TOBACCO_INDICATOR,TOBACCO_INDICATOR_W4_pc_back_B,Percentage of principal display area mandated to be covered by health warnings - back of other smoked tobacco packaging,50.0,50,,
TOBACCO_MPOWER_R_PRICE,Tobacco Raise taxes: Retail price for tobacco and nicotine products,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tobacco-raise-taxes--retail-price-for-and-nicotine-products,2012,2012,2012,AFR,Africa,KEN,Kenya,TOBACCO_INDICATOR,TOBACCO_INDICATOR_PRICE_IN_USD,Price in US$ at official exchange rates,1.07,1.07,,
