GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/uhc-sci-components-infectious-diseases,2020,2020,2020,AFR,Africa,KEN,Kenya,,,,34.0,34,,
FINANCIALHARDSHIP_PROPORTIONOFPOP,"Financial hardship in health and components (SDG 3.8.2, 2025 definition): population (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/financial-hardship-----of-population-by-household-age-composition,2005,2005,2005,AFR,Africa,KEN,Kenya,FINANCIALHARDSHIPCOMPONENT,FINANCIALHARDSHIPCOMPONENT_COMPONENT_IMPOV,Impoverishing spending (Component 2),32.744377136,32.74,,
UHC_SCI_CAPACITY,UHC Service Coverage sub-index on service capacity and access,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/uhc-sci-components-service-capacity-and-access,2003,2003,2003,AFR,Africa,KEN,Kenya,,,,36.0,36,,
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/uhc-service-coverage-index-%28sdg-3.8.1%29,2023,2023,2023,AFR,Africa,KEN,Kenya,,,,57.0,57,,
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/uhc-service-coverage-index-%28sdg-3.8.1%29,2007,2007,2007,AFR,Africa,KEN,Kenya,,,,43.0,43,,
UHC_SCI_RMNCH,"UHC Service Coverage sub-index on reproductive, maternal, newborn and child health",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/uhc-sci-components-reproductive-maternal-newborn-and-child-health-%28sdg-3.8.1%29,2003,2003,2003,AFR,Africa,KEN,Kenya,,,,51.0,51,,
UHC_SCI_NCD,UHC Service Coverage sub-index on noncommunicable diseases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/uhc-sci-components-noncommunicable-diseases,2008,2008,2008,AFR,Africa,KEN,Kenya,,,,58.0,58,,
FINANCIALHARDSHIP_PROPORTIONOFPOP,"Financial hardship in health and components (SDG 3.8.2, 2025 definition): population (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/financial-hardship-----of-population-by-household-age-composition,2005,2005,2005,AFR,Africa,KEN,Kenya,WEALTHQUINTILE,WEALTHQUINTILE_WQ4,Q4,3.981341124,3.98,,
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/uhc-service-coverage-index-%28sdg-3.8.1%29,2013,2013,2013,AFR,Africa,KEN,Kenya,,,,53.0,53,,
UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/uhc-sci-components-infectious-diseases,2011,2011,2011,AFR,Africa,KEN,Kenya,,,,36.0,36,,
FINANCIALHARDSHIP_PROPORTIONOFPOP,"Financial hardship in health and components (SDG 3.8.2, 2025 definition): population (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/financial-hardship-----of-population-by-household-age-composition,2015,2015,2015,AFR,Africa,KEN,Kenya,HOUSEHOLD_COMP_BY_AGE,HOUSEHOLD_COMP_BY_AGE_HH_COMP_ADULTS,Adults only (20-59 years old),6.098370552,6.10,,
FINANCIALHARDSHIP_PROPORTIONOFPOP,"Financial hardship in health and components (SDG 3.8.2, 2025 definition): population (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/financial-hardship-----of-population-by-household-age-composition,2005,2005,2005,AFR,Africa,KEN,Kenya,DEMOGRAPHIC,DEMOGRAPHIC_HEADOFHOUSEHOLD,Head of household,34.28768158,34.29,,
UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/uhc-sci-components-infectious-diseases,2023,2023,2023,AFR,Africa,KEN,Kenya,,,,37.0,37,,
UHC_SCI_RMNCH,"UHC Service Coverage sub-index on reproductive, maternal, newborn and child health",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/uhc-sci-components-reproductive-maternal-newborn-and-child-health-%28sdg-3.8.1%29,2008,2008,2008,AFR,Africa,KEN,Kenya,,,,58.0,58,,
FINANCIALHARDSHIP_PROPORTIONOFPOP,"Financial hardship in health and components (SDG 3.8.2, 2025 definition): population (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/financial-hardship-----of-population-by-household-age-composition,2015,2015,2015,AFR,Africa,KEN,Kenya,HOUSEHOLD_COMP_BY_AGE,HOUSEHOLD_COMP_BY_AGE_HH_COMP_ADULTS_WITH_OLDER,Adults with older persons,20.053371429,20.05,,
FINANCIALHARDSHIP_PROPORTIONOFPOP,"Financial hardship in health and components (SDG 3.8.2, 2025 definition): population (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/financial-hardship-----of-population-by-household-age-composition,2005,2005,2005,AFR,Africa,KEN,Kenya,WEALTHQUINTILE,WEALTHQUINTILE_WQ3,Q3,28.389846802,28.39,,
UHC_SCI_RMNCH,"UHC Service Coverage sub-index on reproductive, maternal, newborn and child health",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/uhc-sci-components-reproductive-maternal-newborn-and-child-health-%28sdg-3.8.1%29,2000,2000,2000,AFR,Africa,KEN,Kenya,,,,52.0,52,,
UHC_SCI_RMNCH,"UHC Service Coverage sub-index on reproductive, maternal, newborn and child health",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/uhc-sci-components-reproductive-maternal-newborn-and-child-health-%28sdg-3.8.1%29,2010,2010,2010,AFR,Africa,KEN,Kenya,,,,62.0,62,,
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/uhc-service-coverage-index-%28sdg-3.8.1%29,2016,2016,2016,AFR,Africa,KEN,Kenya,,,,55.0,55,,
UHC_SCI_CAPACITY,UHC Service Coverage sub-index on service capacity and access,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/uhc-sci-components-service-capacity-and-access,2022,2022,2022,AFR,Africa,KEN,Kenya,,,,50.0,50,,
FINANCIALHARDSHIP_PROPORTIONOFPOP,"Financial hardship in health and components (SDG 3.8.2, 2025 definition): population (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/financial-hardship-----of-population-by-household-age-composition,2005,2005,2005,AFR,Africa,KEN,Kenya,HOUSEHOLD_COMP_BY_AGE,HOUSEHOLD_COMP_BY_AGE_HH_COMP_MULTIGEN,Multigenerational households,44.401088715,44.40,,
UHC_SCI_RMNCH,"UHC Service Coverage sub-index on reproductive, maternal, newborn and child health",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/uhc-sci-components-reproductive-maternal-newborn-and-child-health-%28sdg-3.8.1%29,2022,2022,2022,AFR,Africa,KEN,Kenya,,,,78.0,78,,
FINANCIALHARDSHIP_PROPORTIONOFPOP,"Financial hardship in health and components (SDG 3.8.2, 2025 definition): population (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/financial-hardship-----of-population-by-household-age-composition,2015,2015,2015,AFR,Africa,KEN,Kenya,WEALTHQUINTILE,WEALTHQUINTILE_WQ4,Q4,3.378451586,3.38,,
FINANCIALHARDSHIP_PROPORTIONOFPOP,"Financial hardship in health and components (SDG 3.8.2, 2025 definition): population (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/financial-hardship-----of-population-by-household-age-composition,1997,1997,1997,AFR,Africa,KEN,Kenya,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,5.920321941,5.92,,
FINANCIALHARDSHIP_PROPORTIONOFPOP,"Financial hardship in health and components (SDG 3.8.2, 2025 definition): population (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/financial-hardship-----of-population-by-household-age-composition,1997,1997,1997,AFR,Africa,KEN,Kenya,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,18.463726044,18.46,,
UHC_SCI_RMNCH,"UHC Service Coverage sub-index on reproductive, maternal, newborn and child health",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/uhc-sci-components-reproductive-maternal-newborn-and-child-health-%28sdg-3.8.1%29,2002,2002,2002,AFR,Africa,KEN,Kenya,,,,52.0,52,,
FINANCIALHARDSHIP_PROPORTIONOFPOP,"Financial hardship in health and components (SDG 3.8.2, 2025 definition): population (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/financial-hardship-----of-population-by-household-age-composition,2015,2015,2015,AFR,Africa,KEN,Kenya,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,26.383457184,26.38,,
UHC_SCI_CAPACITY,UHC Service Coverage sub-index on service capacity and access,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/uhc-sci-components-service-capacity-and-access,2000,2000,2000,AFR,Africa,KEN,Kenya,,,,36.0,36,,
UHC_SCI_RMNCH,"UHC Service Coverage sub-index on reproductive, maternal, newborn and child health",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/uhc-sci-components-reproductive-maternal-newborn-and-child-health-%28sdg-3.8.1%29,2015,2015,2015,AFR,Africa,KEN,Kenya,,,,71.0,71,,
UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/uhc-sci-components-infectious-diseases,2010,2010,2010,AFR,Africa,KEN,Kenya,,,,29.0,29,,
UHC_SCI_NCD,UHC Service Coverage sub-index on noncommunicable diseases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/uhc-sci-components-noncommunicable-diseases,2019,2019,2019,AFR,Africa,KEN,Kenya,,,,65.0,65,,
FINANCIALHARDSHIP_PROPORTIONOFPOP,"Financial hardship in health and components (SDG 3.8.2, 2025 definition): population (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/financial-hardship-----of-population-by-household-age-composition,2005,2005,2005,AFR,Africa,KEN,Kenya,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,34.693725586,34.69,,
UHC_SCI_RMNCH,"UHC Service Coverage sub-index on reproductive, maternal, newborn and child health",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/uhc-sci-components-reproductive-maternal-newborn-and-child-health-%28sdg-3.8.1%29,2013,2013,2013,AFR,Africa,KEN,Kenya,,,,68.0,68,,
FINANCIALHARDSHIP_PROPORTIONOFPOP,"Financial hardship in health and components (SDG 3.8.2, 2025 definition): population (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/financial-hardship-----of-population-by-household-age-composition,2005,2005,2005,AFR,Africa,KEN,Kenya,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,40.856361389,40.86,,
FINANCIALHARDSHIP_PROPORTIONOFPOP,"Financial hardship in health and components (SDG 3.8.2, 2025 definition): population (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/financial-hardship-----of-population-by-household-age-composition,1997,1997,1997,AFR,Africa,KEN,Kenya,WEALTHQUINTILE,WEALTHQUINTILE_WQ4,Q4,3.078450918,3.08,,
UHC_AVAILABILITY_SCORE,Primary data availability for UHC Service Coverage Index (SDG 3.8.1) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sdg-3-8-1-primary-data-availability-for-uhc-service-coverage-index,2023,2019,2023,AFR,Africa,KEN,Kenya,,,,86.0,86,,
UHC_SCI_RMNCH,"UHC Service Coverage sub-index on reproductive, maternal, newborn and child health",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/uhc-sci-components-reproductive-maternal-newborn-and-child-health-%28sdg-3.8.1%29,2023,2023,2023,AFR,Africa,KEN,Kenya,,,,78.0,78,,
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/uhc-service-coverage-index-%28sdg-3.8.1%29,2022,2022,2022,AFR,Africa,KEN,Kenya,,,,57.0,57,,
UHC_SCI_RMNCH,"UHC Service Coverage sub-index on reproductive, maternal, newborn and child health",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/uhc-sci-components-reproductive-maternal-newborn-and-child-health-%28sdg-3.8.1%29,2001,2001,2001,AFR,Africa,KEN,Kenya,,,,52.0,52,,
